,fighter_name,Height,Weight,Reach,Stance,DOB,Height_cm,Weight_kg,Gender
548,Cheick Kongo,"6' 4""",240 lbs.,"82""",Orthodox,"May 17, 1975",193.04,108.86,male
550,Cheyden Leialoha,"5' 8""",135 lbs.,"73""",Orthodox,"Mar 15, 1994",172.72,61.23,male
551,Chibwikem Onyenegecha-Palmer,"6' 3""",185 lbs.,"76""",Orthodox,"Apr 18, 1994",190.5,83.91,male
552,Chico Camus,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985",167.64000000000001,56.7,male
555,Chris Avila,"5' 10""",145 lbs.,"72""",Orthodox,"Jan 16, 1993",177.8,65.77,male
557,Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985",170.18,56.7,male
558,Chris Birchler,"6' 3""",205 lbs.,"79""",Switch,"Jun 05, 1987",190.5,92.99,male
562,Chris Camozzi,"6' 2""",185 lbs.,"76""",Orthodox,"Nov 20, 1986",187.96,83.91,male
563,Chris Cariaso,"5' 3""",125 lbs.,"63""",Southpaw,"May 27, 1981",160.02,56.7,male
564,Chris Clements,"5' 10""",170 lbs.,"70""",Orthodox,"Feb 09, 1976",177.8,77.11,male
567,Chris Cope,"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983",182.88,77.11,male
570,Chris Dempsey,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",177.8,83.91,male
572,Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",172.72,65.77,male
573,Chris Gruetzemacher,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",172.72,70.31,male
575,Chris Gutierrez,"5' 9""",135 lbs.,"69""",Orthodox,"Apr 22, 1991",175.26,61.23,male
578,Chris Heatherly,"5' 9""",155 lbs.,"68""",Orthodox,"Nov 24, 1987",175.26,70.31,male
582,Chris Horodecki,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 24, 1987",175.26,70.31,male
586,Chris Kelades,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 21, 1981",170.18,56.7,male
587,Chris Leben,"5' 11""",185 lbs.,"74""",Southpaw,"Jul 21, 1980",180.34,83.91,male
589,Chris Lytle,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",180.34,77.11,male
599,Chris Tuchscherer,"6' 2""",258 lbs.,"76""",Orthodox,"Sep 08, 1975",187.96,117.03,male
600,Chris Wade,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 30, 1987",177.8,70.31,male
601,Chris Weidman,"6' 2""",185 lbs.,"78""",Orthodox,"Jun 17, 1984",187.96,83.91,male
602,Chris Wilson,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 07, 1977",185.42,77.11,male
605,Chris de la Rocha,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",190.5,113.4,male
606,Christian Colombo,"6' 5""",265 lbs.,"80""",Orthodox,"Jul 01, 1980",195.57999999999998,120.2,male
608,Christian Morecraft,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986",198.12,117.93,male
609,Christian Ocon,"5' 8""",135 lbs.,"69""",Orthodox,"Feb 05, 1996",172.72,61.23,male
611,Christian Wellisch,"6' 2""",234 lbs.,"77""",Orthodox,"Sep 13, 1975",187.96,106.14,male
612,Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",170.18,56.7,female
615,Christos Giagos,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",177.8,70.31,male
617,Chuck Liddell,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",187.96,92.99,male
619,Cindy Dandois,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 26, 1984",170.18,61.23,female
621,Claude Patrick,"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980",180.34,77.11,male
622,Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",162.56,52.16,female
624,Claudio Puelles,"5' 11""",155 lbs.,"72""",Southpaw,"Apr 21, 1996",180.34,70.31,male
625,Claudio Silva,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982",180.34,77.11,male
627,Clay Collard,"5' 11""",145 lbs.,"73""",Orthodox,"Mar 10, 1993",180.34,65.77,male
629,Clay Guida,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",170.18,70.31,male
634,Clifford Starks,"6' 0""",185 lbs.,"77""",Orthodox,"Apr 25, 1981",182.88,83.91,male
637,Clint Hester,"6' 2""",205 lbs.,"77""",Orthodox,"Nov 21, 1986",187.96,92.99,male
641,Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",190.5,92.99,male
642,Cody East,"6' 3""",245 lbs.,"74""",Orthodox,"Jun 29, 1988",190.5,111.13,male
644,Cody Garbrandt,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",172.72,61.23,male
645,Cody Gibson,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",177.8,61.23,male
646,Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987",182.88,70.31,male
647,Cody Pfister,"5' 10""",155 lbs.,"73""",Orthodox,"Jul 12, 1990",177.8,70.31,male
649,Cody Stamann,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989",167.64000000000001,61.23,male
650,Colby Covington,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",180.34,77.11,male
651,Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",170.18,61.23,male
652,Cole Miller,"6' 1""",145 lbs.,"74""",Orthodox,"Apr 26, 1984",185.42,65.77,male
653,Cole Province,"5' 9""",145 lbs.,"68""",Orthodox,"Jan 17, 1981",175.26,65.77,male
654,Cole Smith,"5' 11""",135 lbs.,"67""",Orthodox,"Apr 05, 1989",180.34,61.23,male
655,Colin Fletcher,"6' 2""",155 lbs.,"78""",Orthodox,"Jan 08, 1983",187.96,70.31,male
659,Collin Hart,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 12, 1989",185.42,83.91,male
661,Colton Smith,"6' 0""",155 lbs.,"71""",Orthodox,"Aug 14, 1987",182.88,70.31,male
663,Conor McGregor,"5' 9""",155 lbs.,"74""",Southpaw,"Jul 14, 1988",175.26,70.31,male
664,Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",190.5,92.99,male
665,Corey Hill,"6' 4""",155 lbs.,"80""",Orthodox,"Oct 03, 1978",193.04,70.31,male
667,Cortney Casey,"5' 7""",115 lbs.,"67""",Orthodox,"May 05, 1987",170.18,52.16,female
671,Cory Sandhagen,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",180.34,61.23,male
673,Costas Philippou,"5' 11""",185 lbs.,"73""",Orthodox,"Nov 29, 1979",180.34,83.91,male
674,Coty Wheeler,"5' 6""",135 lbs.,"67""",Orthodox,"Oct 11, 1978",167.64000000000001,61.23,male
675,Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",180.34,77.11,male
680,Craig White,"6' 2""",170 lbs.,"76""",Orthodox,"Jul 01, 1990",187.96,77.11,male
683,Cris Cyborg,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 09, 1985",172.72,65.77,female
684,Cristiano Marcello,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 03, 1977",175.26,70.31,male
685,Cristina Stanciu,"5' 3""",115 lbs.,"64""",Orthodox,"Mar 29, 1994",160.02,52.16,female
687,Cub Swanson,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 02, 1983",172.72,65.77,male
688,Cung Le,"5' 9""",185 lbs.,"69""",Southpaw,"May 25, 1972",175.26,83.91,male
689,Curt Warburton,"6' 0""",155 lbs.,"73""",Orthodox,,182.88,70.31,male
690,Curtis Blaydes,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",193.04,120.2,male
691,Curtis Millender,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 01, 1987",187.96,77.11,male
693,Cynthia Calvillo,"5' 4""",115 lbs.,"64""",Orthodox,"Jul 13, 1987",162.56,52.16,female
694,Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",182.88,112.04,male
695,Cyrille Diabate,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973",198.12,92.99,male
698,DaMarques Johnson,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 28, 1982",185.42,77.11,male
700,Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",180.34,77.11,male
708,Dale Hartt,"5' 10""",155 lbs.,"69""",Orthodox,"Apr 04, 1979",177.8,70.31,male
709,Damacio Page,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 30, 1982",167.64000000000001,61.23,male
710,Damian Grabowski,"6' 1""",241 lbs.,"75""",Orthodox,"May 12, 1980",185.42,109.32,male
711,Damian Stasiak,"5' 5""",135 lbs.,"70""",Orthodox,"Feb 20, 1990",165.1,61.23,male
712,Damien Brown,"5' 10""",155 lbs.,"68""",Orthodox,"Dec 25, 1984",177.8,70.31,male
715,Damir Hadzovic,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 08, 1986",175.26,70.31,male
718,Damon Jackson,"5' 11""",145 lbs.,"71""",Switch,"Aug 08, 1988",180.34,65.77,male
725,Dan Hardy,"6' 0""",170 lbs.,"74""",Orthodox,"May 17, 1982",182.88,77.11,male
726,Dan Henderson,"5' 11""",185 lbs.,"74""",Orthodox,"Aug 24, 1970",180.34,83.91,male
727,Dan Hooker,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",182.88,70.31,male
728,Dan Ige,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",170.18,65.77,male
730,Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,"Jun 30, 1981",185.42,83.91,male
731,Dan Moret,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986",182.88,70.31,male
736,Daniel Cormier,"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979",180.34,106.59,male
739,Daniel Jolly,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 03, 1984",185.42,92.99,male
740,Daniel Kelly,"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977",182.88,83.91,male
742,Daniel Omielanczuk,"6' 0""",247 lbs.,"74""",Southpaw,"Aug 31, 1982",182.88,112.04,male
743,Daniel Pineda,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985",170.18,65.77,male
745,Daniel Roberts,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 05, 1980",177.8,77.11,male
747,Daniel Sarafian,"5' 9""",185 lbs.,"73""",Orthodox,"Aug 21, 1982",175.26,83.91,male
749,Daniel Spitz,"6' 7""",245 lbs.,"82""",Orthodox,"Jul 31, 1990",200.66,111.13,male
750,Daniel Spohn,"6' 4""",205 lbs.,"79""",Southpaw,"Oct 12, 1984",193.04,92.99,male
752,Daniel Teymur,"5' 5""",145 lbs.,"69""",Orthodox,"Feb 03, 1988",165.1,65.77,male
754,Danielle Taylor,"5' 0""",115 lbs.,"60""",Orthodox,"Oct 25, 1989",152.4,52.16,female
756,Danilo Belluardo,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 21, 1994",182.88,70.31,male
758,Danny Castillo,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1979",175.26,70.31,male
760,Danny Downes,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",182.88,70.31,male
761,Danny Henry,"6' 0""",145 lbs.,"73""",Orthodox,"Jul 17, 1988",182.88,65.77,male
762,Danny Martinez,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",167.64000000000001,56.7,male
763,Danny Mitchell,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 08, 1986",187.96,77.11,male
765,Danny Roberts,"6' 1""",170 lbs.,"74""",Southpaw,"Jul 14, 1987",185.42,77.11,male
767,Darko Stosic,"6' 0""",205 lbs.,"76""",Orthodox,"Feb 09, 1992",182.88,92.99,male
768,Daron Cruickshank,"5' 8""",155 lbs.,"72""",Switch,"Jun 11, 1985",172.72,70.31,male
770,Darrell Horcher,"5' 10""",155 lbs.,"70""",Southpaw,"Jul 28, 1987",177.8,70.31,male
771,Darrell Montague,"5' 6""",125 lbs.,"67""",Southpaw,"Nov 03, 1987",167.64000000000001,56.7,male
772,Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",177.8,65.77,male
773,Darren Stewart,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 30, 1990",182.88,83.91,male
774,Darren Till,"6' 0""",170 lbs.,"74""",Southpaw,"Dec 24, 1992",182.88,77.11,male
775,Darren Uyenoyama,"5' 6""",125 lbs.,"64""",Orthodox,"Oct 15, 1979",167.64000000000001,56.7,male
780,Dashon Johnson,"5' 7""",145 lbs.,"70""",Orthodox,"Jan 25, 1988",170.18,65.77,male
787,Dave Herman,"6' 4""",242 lbs.,"76""",Orthodox,"Oct 03, 1984",193.04,109.77,male
788,Dave Jansen,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 21, 1979",175.26,70.31,male
797,Davi Ramos,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986",167.64000000000001,70.31,male
802,David Bielkheden,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",177.8,70.31,male
804,David Branch,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",185.42,83.91,male
809,David Heath,"5' 11""",205 lbs.,"72""",Orthodox,"Feb 10, 1976",180.34,92.99,male
815,David Loiseau,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979",182.88,83.91,male
817,David Michaud,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 10, 1988",175.26,70.31,male
818,David Mitchell,"6' 0""",170 lbs.,"76""",Orthodox,"Oct 24, 1979",182.88,77.11,male
823,David Teymur,"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989",175.26,70.31,male
825,David Zawada,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990",182.88,77.11,male
830,Dean Lister,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 13, 1976",185.42,83.91,male
831,Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987",165.1,56.7,male
832,Deividas Taurosevicius,"5' 9""",145 lbs.,"68""",Southpaw,"Aug 28, 1977",175.26,65.77,male
835,Demetrious Johnson,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986",160.02,56.7,male
837,Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",185.42,77.11,male
838,Denis Kang,"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977",180.34,83.91,male
841,Dennis Bermudez,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986",167.64000000000001,70.31,male
842,Dennis Bryant,"6' 0""",205 lbs.,"72""",Orthodox,"Oct 18, 1985",182.88,92.99,male
844,Dennis Hallman,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975",175.26,70.31,male
847,Dennis Siver,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 13, 1979",167.64000000000001,65.77,male
850,Derek Brunson,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",185.42,83.91,male
854,Deron Winn,"5' 6""",185 lbs.,"70""",Orthodox,"Jun 13, 1989",167.64000000000001,83.91,male
856,Derrick Krantz,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 13, 1988",177.8,77.11,male
857,Derrick Lewis,"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",190.5,117.93,male
861,Desmond Green,"5' 10""",155 lbs.,"73""",Southpaw,"Oct 11, 1989",177.8,70.31,male
862,Devin Clark,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",182.88,92.99,male
865,Devin Powell,"6' 0""",155 lbs.,"73""",Orthodox,"Mar 01, 1988",182.88,70.31,male
866,Devonte Smith,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993",175.26,70.31,male
869,Dhiego Lima,"6' 2""",170 lbs.,"74""",Orthodox,"Jan 31, 1989",187.96,77.11,male
871,Diego Brandao,"5' 7""",145 lbs.,"68""",Orthodox,"May 27, 1987",170.18,65.77,male
872,Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",175.26,70.31,male
874,Diego Nunes,"5' 6""",145 lbs.,"67""",Orthodox,"Nov 30, 1982",167.64000000000001,65.77,male
875,Diego Rivas,"5' 8""",145 lbs.,"69""",Orthodox,"Nov 11, 1991",172.72,65.77,male
876,Diego Sanchez,"5' 10""",170 lbs.,"72""",Southpaw,"Dec 31, 1981",177.8,77.11,male
886,Dmitrii Smoliakov,"6' 2""",253 lbs.,"74""",Switch,"Aug 05, 1982",187.96,114.76,male
888,Dmitry Sosnovskiy,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 06, 1989",190.5,108.86,male
890,Dom Pilarte,"6' 0""",135 lbs.,"74""",Southpaw,"Jan 05, 1990",182.88,61.23,male
893,Dominic Waters,"6' 1""",170 lbs.,"79""",Orthodox,"Apr 11, 1989",185.42,77.11,male
894,Dominick Cruz,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 09, 1985",172.72,61.23,male
895,Dominick Reyes,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989",193.04,92.99,male
896,Dominique Steele,"5' 10""",170 lbs.,"74""",Orthodox,"Jan 27, 1988",177.8,77.11,male
899,Don Madge,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990",182.88,70.31,male
900,Don'Tale Mayes,"6' 6""",260 lbs.,"82""",Orthodox,"Jan 16, 1992",198.12,117.93,male
901,Donald Cerrone,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",185.42,70.31,male
904,Dong Hyun Kim,"6' 2""",170 lbs.,"76""",Southpaw,"Nov 17, 1981",187.96,77.11,male
905,Dong Hyun Ma,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",180.34,70.31,male
907,Dongi Yang,"5' 10""",185 lbs.,"71""",Southpaw,"Dec 07, 1984",177.8,83.91,male
911,Dooho Choi,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991",177.8,65.77,male
918,Douglas Silva de Andrade,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 22, 1985",170.18,61.23,male
919,Drakkar Klose,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988",175.26,70.31,male
922,Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",172.72,70.31,male
923,Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979",177.8,70.31,male
924,Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978",182.88,83.91,male
926,Duane Ludwig,"5' 10""",170 lbs.,"70""",Orthodox,"Aug 04, 1978",177.8,77.11,male
927,Duda Santana,"5' 7""",145 lbs.,"73""",Orthodox,"Jan 10, 1996",170.18,65.77,female
928,Dustin Hazelett,"6' 1""",170 lbs.,"76""",Orthodox,"Apr 29, 1986",185.42,77.11,male
929,Dustin Jacoby,"6' 4""",185 lbs.,"78""",Orthodox,"Apr 04, 1988",193.04,83.91,male
930,Dustin Kimura,"5' 7""",135 lbs.,"71""",Orthodox,"May 21, 1989",170.18,61.23,male
933,Dustin Ortiz,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 25, 1988",165.1,56.7,male
934,Dustin Pague,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 05, 1987",175.26,61.23,male
935,Dustin Poirier,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",175.26,70.31,male
938,Dwight Grant,"6' 1""",170 lbs.,"76""",Switch,"Sep 14, 1984",185.42,77.11,male
939,Dylan Andrews,"6' 1""",185 lbs.,"73""",Switch,"Nov 15, 1979",185.42,83.91,male
941,Ed Herman,"6' 1""",205 lbs.,"77""",Orthodox,"Oct 02, 1980",185.42,92.99,male
942,Ed Ratcliff,"5' 10""",155 lbs.,"71""",Orthodox,"Mar 05, 1983",177.8,70.31,male
943,Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",175.26,70.31,male
944,Eddie Gordon,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 22, 1983",182.88,83.91,male
947,Eddie Sanchez,"6' 2""",230 lbs.,"74""",Orthodox,"Nov 04, 1982",187.96,104.33,male
948,Eddie Wineland,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 26, 1984",170.18,61.23,male
953,Edgar Garcia,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",177.8,77.11,male
956,Ednaldo Oliveira,"6' 5""",205 lbs.,"79""",Orthodox,"Feb 19, 1984",195.57999999999998,92.99,male
957,Edson Barboza,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986",180.34,70.31,male
967,Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984",170.18,61.23,male
968,Efrain Escudero,"5' 9""",155 lbs.,"70""",Orthodox,"Jan 15, 1986",175.26,70.31,male
977,Elias Garcia,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",165.1,56.7,male
978,Elias Silverio,"5' 11""",155 lbs.,"73""",Orthodox,"Sep 22, 1986",180.34,70.31,male
979,Elias Theodorou,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988",185.42,83.91,male
980,Elias Urbina,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 09, 1993",190.5,83.91,male
981,Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980",187.96,92.99,male
983,Elizabeth Phillips,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 20, 1986",167.64000000000001,61.23,female
984,Elizeu Zaleski dos Santos,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",180.34,77.11,male
985,Elvis Mutapcic,"6' 0""",185 lbs.,"72""",Orthodox,"Jul 19, 1986",182.88,83.91,male
986,Elvis Sinosic,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 13, 1971",190.5,92.99,male
988,Emil Meek,"5' 11""",170 lbs.,"74""",Switch,"Aug 20, 1988",180.34,77.11,male
1008,Eric Schafer,"6' 3""",185 lbs.,"75""",Orthodox,"Sep 20, 1977",190.5,83.91,male
1011,Eric Shelton,"5' 6""",125 lbs.,"68""",Orthodox,"Feb 02, 1991",167.64000000000001,56.7,male
1013,Eric Spicely,"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986",185.42,83.91,male
1017,Erick Montano,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985",182.88,77.11,male
1019,Erick Silva,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 21, 1984",182.88,77.11,male
1023,Erik Koch,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 04, 1988",177.8,70.31,male
1024,Erik Perez,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989",172.72,61.23,male
1025,Ernest Chavez,"5' 8""",145 lbs.,"70""",Orthodox,"Jun 27, 1983",172.72,65.77,male
1028,Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",185.42,83.91,male
1030,Estevan Payan,"5' 10""",145 lbs.,"72""",Orthodox,"Mar 14, 1982",177.8,65.77,male
1034,Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",177.8,70.31,male
1036,Evan Tanner,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",182.88,83.91,male
1037,Evangelista Santos,"5' 10""",170 lbs.,"76""",Orthodox,"Dec 12, 1977",177.8,77.11,male
1039,Everett Sims,"6' 5""",260 lbs.,"77""",Southpaw,"Sep 04, 1988",195.57999999999998,117.93,male
1046,Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",185.42,92.99,male
1050,Fabricio Camoes,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 23, 1978",177.8,70.31,male
1052,Fabricio Werdum,"6' 4""",231 lbs.,"77""",Orthodox,"Jul 30, 1977",193.04,104.78,male
1056,Fedor Emelianenko,"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976",182.88,104.33,male
1057,Felice Herrig,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984",162.56,52.16,female
1058,Felicia Spencer,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 29, 1990",167.64000000000001,65.77,female
1059,Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",172.72,61.23,male
1060,Felipe Colares,"5' 9""",135 lbs.,"69""",Orthodox,"Mar 31, 1994",175.26,61.23,male
1061,Felipe Olivieri,"5' 9""",155 lbs.,"72""",Orthodox,"Apr 12, 1985",175.26,70.31,male
1063,Felipe Silva,"6' 0""",155 lbs.,"77""",Orthodox,"May 08, 1984",182.88,70.31,male
1067,Fernando Gonzalez,"5' 9""",170 lbs.,"68""",Southpaw,"Sep 15, 1983",175.26,77.11,male
1068,Filip Pejic,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 21, 1992",172.72,61.23,male
1072,Forrest Griffin,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979",190.5,92.99,male
1073,Forrest Petz,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1975",175.26,77.11,male
1075,Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980",185.42,92.99,male
1076,Francis Carmont,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981",190.5,92.99,male
1077,Francis Ngannou,"6' 4""",250 lbs.,"83""",Orthodox,"Sep 05, 1986",193.04,113.4,male
1080,Francisco Rivera,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 08, 1981",172.72,61.23,male
1081,Francisco Trevino,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 17, 1981",175.26,70.31,male
1082,Francisco Trinaldo,"5' 9""",155 lbs.,"70""",Southpaw,"Aug 24, 1978",175.26,70.31,male
1084,Frank Camacho,"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989",177.8,77.11,male
1086,Frank Gomez,"5' 10""",135 lbs.,"67""",Orthodox,"Mar 31, 1986",177.8,61.23,male
1090,Frank Mir,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",190.5,119.75,male
1092,Frank Trigg,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972",175.26,77.11,male
1093,Frankie Edgar,"5' 6""",145 lbs.,"68""",Orthodox,"Oct 16, 1981",167.64000000000001,65.77,male
1094,Frankie Perez,"5' 11""",155 lbs.,"73""",Orthodox,"May 11, 1989",180.34,70.31,male
1095,Frankie Saenz,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 12, 1980",167.64000000000001,61.23,male
1098,Fredson Paixao,"5' 6""",145 lbs.,"66""",Orthodox,"May 13, 1979",167.64000000000001,65.77,male
1099,Fredy Serrano,"5' 3""",125 lbs.,"65""",Orthodox,"Sep 22, 1979",160.02,56.7,male
1102,Gabriel Benitez,"5' 8""",145 lbs.,"71""",Southpaw,"Jun 15, 1988",172.72,65.77,male
1105,Gabriel Gonzaga,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",187.96,109.77,male
1110,Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",180.34,92.99,male
